"Die","Domain","Freq","OverlayPlot","CoreCount"
"HUBDIE","SAN","1.65","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAN_1p65GHz.png","1"
"HUBDIE","SAPS","0.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAPS_0p5GHz.png","1"
"HUBDIE","SAPS","0.75","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAPS_0p75GHz.png","1"
"HUBDIE","SAQ","1.4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAQ_1p4GHz.png","1"
"HUBDIE","SAQ","3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAQ_3GHz.png","1"
"HUBDIE","SAQ","3.4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAQ_3p4GHz.png","1"
"HUBDIE","SAQ","3.6","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAQ_3p6GHz.png","1"
"HUBDIE","SAQ","4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAQ_4GHz.png","1"
"HUBDIE","SAVPU","0.629","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAVPU_0p629GHz.png","1"
"HUBDIE","SAVPU","1.257","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAVPU_1p257GHz.png","1"
"HUBDIE","SAVPU","1.429","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAVPU_1p429GHz.png","1"
