"Die","Domain","FrequencyGHz","Core","VminColumn","UpmS2TColumn","DevRevColumn","DevRevStep","TargetS2T","Samples","Slope","Intercept","R2","Vmin_At_Target"
"HUBDIE","SAC","2.45","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAC_2.450_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAC","2.7","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAC_2.700_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
"HUBDIE","SAC","2.8","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAC_2.800_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","5833","-0.881290329786651","1.70629193959703","0.406260221923773","0.957195159278381"
"HUBDIE","SAC","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAC_3.000_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","2960","-0.921546438407791","1.85118075975311","0.504373427724627","1.06786628710649"
"HUBDIE","SACD","0.403","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SACD_0.403_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SACD","0.787","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SACD_0.787_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SADPU","1.1","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SADPU_1.100_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SADPU","2.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SADPU_2.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SADPU","2.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SADPU_2.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
"HUBDIE","SAIOC","0.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAIOC_0.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAIOC","0.75","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAIOC_0.750_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAME","0.45","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAME_0.450_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAME","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAME_1.200_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
"HUBDIE","SAME","1.45","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAME_1.450_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-1.06861814540997","1.8049076383616","0.676207414353567","0.896582214763123"
"HUBDIE","SAN","0.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAN_0.600_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.613659073224529","1.10675412256925","0.521492483705347","0.585143910328405"
"HUBDIE","SAN","1.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU2_RCS_SAN_1.500_1","TPI_UPM::UPM_X_SCREEN_K_START_X_X_X_X_FEM_CALC_UPM_FEM_ULVT_FULLDIE_PDK0P9_0950MV_SORT_U1.U2","DevRevStep_SORT_U1.U2","8PF9CVA","0.85","8793","-0.777518358680808","1.46605360124444","0.619358520888271","0.805162996365749"
